Name	Itemtype	Piece	x	y	z               
ink_1	TRAIN	1	0.2526	0.189	0.5584      
ink_1	TRAIN	2	0.2509	0.1982	0.5508      
ink_1	TRAIN	3	0.2697	0.2105	0.5198      
ink_1	TRAIN	4	0.2608	0.1986	0.5406
ink_1	TRAIN	5	0.2504	0.1906	0.559
ink_1	TRAIN	6	0.252	0.1914	0.5566
ink_1	TRAIN	7	0.2548	0.1951	0.5501
ink_1	TRAIN	8	0.2675	0.2094	0.5231
ink_1	TRAIN	9	0.2675	0.2094	0.5231
ink_1	TRAIN	10	0.2486	0.1865	0.5649
ink_1.1	TRAIN	1	0.2378	0.1727	0.5895
ink_1.1	TRAIN	2	0.2556	0.1973	0.5471
ink_1.1	TRAIN	3	0.2425	0.1799	0.5777
ink_1.1	TRAIN	4	0.2562	0.1991	0.5447
ink_1.1	TRAIN	5	0.2491	0.1893	0.5616
ink_1.1	TRAIN	6	0.2313	0.168	0.6008
ink_1.1	TRAIN	7	0.2356	0.1712	0.5933
ink_1.1	TRAIN	8	0.2309	0.1727	0.5965
ink_1.1	TRAIN	9	0.2556	0.2037	0.5407
ink_1.1	TRAIN	10	0.2306	0.17	0.5994
ink_2	TRAIN	1	0.2584	0.1985	0.5431
ink_2	TRAIN	2	0.2672	0.2012	0.5316
ink_2	TRAIN	3	0.2541	0.1869	0.559
ink_2	TRAIN	4	0.2461	0.1759	0.5781
ink_2	TRAIN	5	0.2494	0.1823	0.5683
ink_2	TRAIN	6	0.2629	0.2016	0.5355
ink_2	TRAIN	7	0.255	0.1898	0.5552
ink_2	TRAIN	8	0.2598	0.1931	0.5471
ink_2	TRAIN	9	0.2731	0.2163	0.5107
ink_2	TRAIN	10	0.2606	0.1942	0.5452
ink_2.1	TRAIN	1	0.2655	0.1921	0.5423
ink_2.1	TRAIN	2	0.253	0.1814	0.5656
ink_2.1	TRAIN	3	0.2644	0.1849	0.5508
ink_2.1	TRAIN	4	0.2604	0.187	0.5526
ink_2.1	TRAIN	5	0.2772	0.2009	0.5219
ink_2.1	TRAIN	6	0.2707	0.199	0.5303
ink_2.1	TRAIN	7	0.2574	0.1788	0.5638
ink_2.1	TRAIN	8	0.2749	0.1951	0.53
ink_2.1	TRAIN	9	0.2606	0.1849	0.5545
ink_2.1	TRAIN	10	0.2624	0.1819	0.5558
ink_3	TRAIN	1	0.2683	0.2033	0.5284
ink_3	TRAIN	2	0.2651	0.197	0.5379
ink_3	TRAIN	3	0.2694	0.2053	0.5253
ink_3	TRAIN	4	0.27	0.2035	0.5264
ink_3	TRAIN	5	0.2592	0.1935	0.5473
ink_3	TRAIN	6	0.2702	0.2056	0.5242
ink_3	TRAIN	7	0.2614	0.1932	0.5455
ink_3	TRAIN	8	0.267	0.2102	0.5228
ink_3	TRAIN	9	0.271	0.2018	0.5272
ink_3	TRAIN	10	0.2673	0.2058	0.5269
ink_3.1	TRAIN	1	0.2632	0.2056	0.5311
ink_3.1	TRAIN	2	0.265	0.2013	0.5337
ink_3.1	TRAIN	3	0.2608	0.2058	0.5334
ink_3.1	TRAIN	4	0.2579	0.2023	0.5398
ink_3.1	TRAIN	5	0.2648	0.2064	0.5288
ink_3.1	TRAIN	6	0.2574	0.1938	0.5488
ink_3.1	TRAIN	7	0.2686	0.2069	0.5245
ink_3.1	TRAIN	8	0.2608	0.202	0.5372
ink_3.1	TRAIN	9	0.251	0.2007	0.5483
ink_3.1	TRAIN	10	0.2568	0.1996	0.5436
ink_4	TRAIN	1	0.2755	0.2526	0.4718
